sr_no,date,startup,industry,subvertical,city__location,investors,investment_type,amount,remarks,year
1941,2016-10-02,Anandakanda,Technology,Medicine Intake Reminder System,Pune,undisclosed investors,Seed Funding,150000.0,,2016
1946,2016-12-02,ActOnMagic,Technology,Cloud Analytics and Management Products,Bangalore,Jayabalan Subramanian,Seed Funding,125000.0,,2016
1947,2016-12-02,Bonhomia,Food & Beverage,premium Tea and Coffee,New Delhi,"Alok Rawat, Grey Orange Robotics",Seed Funding,1000000.0,,2016
1948,2016-12-02,iGrenEnergi,Technology,Solar Power Solutions,Mumbai,Sunil Mehta,Seed Funding,1000000.0,,2016
1949,2016-12-02,RKSV,Consumer Internet,Online Stock Trading Platform,Mumbai,Kalaari Capital,Private Equity,4000000.0,,2016
2009,2016-04-01,B9 Beverages,Food & Beverage,Craft Beer manufacturing company,New Delhi,"Sequoia Capital, Kunal Bahl, Rohit Bansal, Deepinder Goyal, Ashish Dhawan, Mayank Singhal",Private Equity,6000000.0,,2016
2011,2016-05-01,MyChild App,Education,Child Disorder Information & Education,Bhopal,"Samir Bangara, Anisha Mittal, Amit Gupta, Pallav Nadhani, Lalit Mangal, Arihant Patni, Dr. Ritesh Malik, Deobrat Singh, Saurab Paruthi, Singapore Angel Network.",Seed Funding,100000.0,,2016
2013,2016-05-01,360Ride,Consumer Internet,Ride Sharing platform,Bangalore,Undisclosed,Seed Funding,150000.0,,2016
2014,2016-05-01,Alef\\nMobitech,Consumer Internet,Cloud Mobility Solutions,Mumbai,Tata Capital Innovation Fund,Private Equity,5000000.0,,2016
2017,2016-06-01,Sensara,Technology,"TV Search, Guide and Remote mobile app",Bangalore,"Lalitesh Katragadda,\\xc2\\xa0 Ganayantrika Systems",Seed Funding,750000.0,,2016
2018,2016-06-01,Zebpay,Consumer Internet,Bitcoin Buying & Selling Mobile App,Ahmedabad,"Arjun Handa, Amit Jindal, Nagendra Chaudhary",Private Equity,1000000.0,,2016
2019,2016-06-01,PlanMy\\nMedicalTrip,Healthcare,Medical Tourism platform,Pune,"Bhanu Vikram Parsotam, Rohan Desai and Paras Patel",Seed Funding,150000.0,,2016
2020,2016-06-01,MyCity4Kids,Education,Children Education & Information platform,Gurgaon,"SIDBI Venture Capital Limited, YourNest Angel Fund",Private Equity,3000000.0,,2016
2021,2016-06-01,Justdakhila.com,Education,School Student admissions platform,New Delhi,Ankur Gupta,Seed Funding,750000.0,,2016
2024,2016-07-01,Infurnia,Consumer Internet,Online Furniture Customization platform,Bangalore,Idein Ventures,Seed Funding,160000.0,,2016
2025,2016-07-01,Myly,Education,Mobile Based Education platform,Jaipur,Newbie Promoter Pvt Ltd,Seed Funding,100000.0,,2016
2026,2016-07-01,MakeMyTrip,Consumer Internet,Online Travel/Hotel Booking platform,Gurgaon,Ctrip.com International Ltd,Private Equity,180000000.0,,2016
2027,2016-08-01,Melorra,ECommerce,Online/ Mobile Jewellery Retailer,Bangalore,Lightbox Ventures,Private Equity,5000000.0,,2016
2028,2016-08-01,ConfirmTKT,Consumer Internet,Train PNR Status Prediction Platform,Bangalore,"Krishna Jhujhunwala, Dr. Apoorv Ranjan Sharma, Anirudh Damani, Anand Ladsariya, Sanjay Mehta & Others",Seed Funding,250000.0,,2016
2029,2016-08-01,Gyaanzone,Education,Career Planning and Education Advisory Platform,Mumbai,GBIM Technologies Pvt Ltd,Seed Funding,45000.0,,2016
2032,2016-11-01,Koovs,ECommerce,Online Fashion Apparel Retailer,Gurgaon,"Nahata Family, Waheed Alli",Private Equity,5400000.0,,2016
2034,2016-11-01,FreshMenu,Consumer Internet,Online / Mobile Food Ordering platform,Bangalore,"Zodius Capital, Lightspeed Venture Partners",Private Equity,16500000.0,,2016
2035,2016-11-01,SavvyMob,ECommerce,Last Minute Hotel Bookings mobile marketplace,Bangalore,"TV Mohandas Pai, LetsVenture",Seed Funding,1000000.0,,2016
2037,2016-12-01,Shopclues,ECommerce,ECommerce Marketplace,Gurgaon,"GIC, Tiger Global Management, Nexus Venture Partners",Private Equity,100000000.0,,2016
2039,2016-12-01,iBus Networks,Technology,Next Generation in-building connectivity,Bangalore,"Vallabh Bhanshali, N Squared Management LLC, Jagdish & Sandeep Mehta Family Office",Private Equity,2300000.0,,2016
2040,2016-12-01,Happy2Refer,Consumer Internet,Mobile based Referral Platform,Mumbai,"Equity Crest, Vinners, Sparknext",Seed Funding,250000.0,,2016
2109,2015-01-12,CollegeDekho,Online Education Information platform,,Jaipur,GirnarSoft,Seed Funding,1000000.0,,2015
2112,2015-01-12,Patel Logistics,Transportation & Logistics Platform,,Mumbai,Frontline Strategy,Private Equity,5600000.0,,2015
2113,2015-01-12,Wigzo,Enterprise Marketing Automation platform,,New Delhi,"Aarin Capital Partners, TV Mohandas Pai",Seed Funding,500000.0,Pre-Series A,2015
2115,2015-01-12,Godof Hospitals,Digital Healthcare,,New Delhi,Pankaj Gupta,Seed Funding,2000000.0,,2015
2116,2015-02-12,RoomsTonite,Last Minute Hotel Booking App,,Bangalore,"Lashit Sanghvi, Nikhil Vora, Venkat Vardhan,Mohammed Bin Abdul Rehman Al Khalifa,\\xc2\\xa0 Ralph Berezan, Vissal Mathew,\\xc2\\xa0 Balamurali Krishna",Seed Funding,1500000.0,,2015
2119,2015-03-12,EasyKhaana,Online Food ordering & Delivery platform,,New Delhi,Undisclosed investors,Seed Funding,100000.0,,2015
2120,2015-03-12,Shuttl,App based Bus Pooling Services,,Gurgaon,"Sequoia Capital, Times Internet Ltd & One more Fund",Private Equity,20000000.0,Series B,2015
2123,2015-04-12,Applop,On Demand Mobile app developer,,Kolkata,GHV Accelerator,Seed Funding,100000.0,,2015
2124,2015-04-12,CaRPM,Car Maintenance & Management mobile app,,Gurgaon,GHV Accelerator,Seed Funding,100000.0,,2015
2125,2015-04-12,NDTV Wedding portal,Online Wedding Marketplace,,New Delhi,CerraCap,Private Equity,20000000.0,Series A,2015
2128,2015-07-12,Customfurnish,Custom Made furniture e-tailer,,Hyderabad,Agnus Capital,Private Equity,4500000.0,Series A,2015
2129,2015-07-12,Faasos,QSR Chain,,Pune,"ru-Net, Sequoia Capital,\\xc2\\xa0 Lightbox Ventures",Private Equity,30000000.0,Series C,2015
2131,2015-07-12,Leaf Wearables,Smart Safety Wearable Devices,,New Delhi,"Ajeet Khurana Jinesh Shah, Vikram Chachra, Dr. Aniruddha Malpani",Seed Funding,250000.0,,2015
2132,2015-07-12,Coolshare,Cab Sharing service Mobile app,,Mumbai,Gopal Aggarwal,Seed Funding,100000.0,,2015
2135,2015-08-12,Yumist,Home Cooked Food Order & Delivery platform,,Gurgaon,"Unilazer Ventures, Orios Venture Partners, Steven Lurie",Private Equity,2000000.0,Series A,2015
2136,2015-09-12,Jigsaw Academy,Online School for Analytics learning,,Bangalore,Manipal Global Education Services,Private Equity,3000000.0,Series A,2015
2138,2015-09-12,Voxweb,Picture creation & Social mobile app,,Mumbai,Undisclosed Investor,Seed Funding,350000.0,,2015
2139,2015-09-12,Aye Finance,Nonbanking finance company,,New Delhi,"SAIF Partners, Accion",Private Equity,3000000.0,Series B,2015
2141,2015-10-12,BlackBuck,Online Freight Services Aggregator,,Bangalore,"Tiger Global Management, Yuri Milner, Apoletto, Accel Partners, Flipkart",Private Equity,25000000.0,Series B,2015
2142,2015-10-12,HomeStudio,Online Branded Furniture etailer,,Bangalore,Bren Corporation,Private Equity,5000000.0,Series A,2015
2143,2015-10-12,PropheSee,Digital Analytics Platform,,New Delhi,"Indian Angel Network, Stanford Angels, Entrepreneurs India",Seed Funding,500000.0,,2015
2144,2015-10-12,i2e1,Internet Network Infrastructure Services,,New Delhi,GrowX Ventures,Seed Funding,500000.0,,2015
2145,2015-10-12,Holisol Logistics,Supply Chain & Logistics Solutions,,New Delhi,CLSA Capital Partners ARIA IV Funds,Private Equity,10000000.0,,2015
2147,2015-10-12,Paynear,Mobile Point of Sale solutions,,Hyderabad,Mitesh Majithia,Private Equity,2500000.0,Pre-Series A,2015
2148,2015-10-12,Chillr,Peer-to-Peer Money Transfer & Recharge App,,Mumbai,"Sequoia Capital, Blume Ventures, Uniqorn Ventures and other",Private Equity,70000000.0,Series A,2015
2149,2015-11-12,EureQa,Test Automation SAAS platform,,Hyderabad/USA,"Sashi Reddi, Gabriel Investments",Seed Funding,600000.0,,2015
2153,2015-11-12,OnlineRTI,Online RTI application services,,Bangalore,"LetsVenture, Mohandas Pai",Seed Funding,150000.0,,2015
2155,2015-11-12,Weddingz.in,Wedding Venues & Vendors Marketplace,,Mumbai,"Rajan Anandan, Zoya Akhtar, Reema Kagati, Ruchi Narain, Amrish Kumar, Hrishikesh Parandekar",Seed Funding,1000000.0,,2015
2198,2015-02-11,Twigly,Online Food Ordering & Delivery platform,,Gurgaon,"Amit Gupta, Sahil Barua, Mukul Singhal, Tracxn Labs",Seed Funding,200000.0,,2015
2199,2015-02-11,CityFlo,Bus Aggregation and rental mobile app,,Mumbai,IDG Ventures,Seed Funding,750000.0,,2015
2202,2015-03-11,Pokkt,Alternate Mobile Monetization platform,,Mumbai,"Segnel Venture, Shinji Kimura, Sundar Chanrai, JAFCO Asia, SingTel\\xe2\\x80\\x99s Innov8, Jungle Ventures, K Ganesh",Private Equity,5000000.0,Series B,2015
2203,2015-03-11,oibanit,Online Food Ordering Marketplace,,Vadodara,"Varun Ahuja, Anubhav Verma",Seed Funding,150000.0,,2015
2204,2015-03-11,Stuffed,Quick Service Restaurant & Online Delivery,,Mumbai,Riqueza Capital,Seed Funding,385000.0,Funding happened in Sept 2015,2015
2205,2015-03-11,LoanBaba,Online Loans Marketplace,,Mumbai,Unknown,Seed Funding,320000.0,,2015
2206,2015-03-11,Deyor Rooms,Budget Hotels Aggregator,,New Delhi,Dheeraj Jain & Others,Seed Funding,500000.0,,2015
2207,2015-03-11,Bidgely,Efficient Energy Management platform,,USA/India,"Constellation Technology Ventures (Exelon Corporation), E.ON, RWE, Khosla Ventures",Private Equity,16600000.0,Series B,2015
2208,2015-04-11,Shirsa Labs,Digital Intelligent learning platform,,Mumbai,ah! Ventures,Seed Funding,250000.0,,2015
2210,2015-04-11,YourDOST,Online Counselling and psychological support platform,,Gwalior,"Phanindra Sama, Aprameya Radhakrishna, Aneesh Reddy, Neeraj Jawalkar, Sanjay Anandaram, Pavan Ongole, Venk Krishnan",Seed Funding,400000.0,,2015
2211,2015-05-11,BookMyBai,Domestic Help Aggregation platform,,Mumbai,Vineel Nalla & Others,Seed Funding,150000.0,,2015
2212,2015-05-11,MyIndianStay,Home Stay & room rentals platform,,Goa,Undisclosed investors,Seed Funding,200000.0,,2015
2215,2015-06-11,Satvacart,Online Grocery platform,,Gurgaon,Undisclosed HNIs,Private Equity,1800000.0,Pre-Series A Bridge,2015
2216,2015-06-11,POPxo.com,Online content platform for women,,New Delhi,"IDG Ventures India, Kalaari Capital, 500 Startups",Private Equity,2000000.0,Series A,2015
2217,2015-06-11,SparesHub,Online Vehicle Spare Parts etailer,,Pune,"Hyderabad Angels, M&S Partners",Seed Funding,460000.0,Pre-Series A,2015
2218,2015-06-11,Explara,Event Ticketing platform,,Pune,"Hyderabad Angels, Singapore Angel Network, Ness Wadia",Private Equity,490000.0,Pre-Series A,2015
2220,2015-06-11,Yuvi Hospitality,Premium dining Lounges & restaurants,,Gurgaon,Chandralekha Construction Pvt. Ltd.,Private Equity,15000000.0,Series A,2015
2221,2015-09-11,AppVirality,Mobile Growth Hacking\\nPlatform,,Hyderabad,"Rajan Anandan, Mike Galgon, Ravi Gururaj, Ashim Mehra,\\xc2\\xa0 Mohit Saxena, Internet Group, TNN Capital and others",Seed Funding,500000.0,Pre-Series A,2015
2222,2015-09-11,iStar Skill Development,Skill Training Startup,,Bangalore,"Michael & Susan Dell Foundation, Unitus Seed Fund",Private Equity,1500000.0,Series A,2015
2223,2015-09-11,BigStylist.com,Beauty and Wellness Marketplace,,Mumbai,Info Edge,Private Equity,1000000.0,Pre-Series A,2015
2224,2015-09-11,Zilingo,Marketplace App for Bangkok,,Bangalore/ Bangkok,"Sequoia India, BEENEXT Ventures, Kunal Shah & Sandeep Tandon",Private Equity,1900000.0,Series A,2015
2225,2015-09-11,Didi,On-demand Maids Service Provider,,Mumbai,"Jozef Bardik, Leo Wang Sangeeth Ram",Seed Funding,150000.0,,2015
2226,2015-09-11,Skoov.com,eCommerce Product Search Engine,,Mumbai,undisclosed investor,Seed Funding,150000.0,,2015
2227,2015-10-11,Chefs Basket,Ready to cook packaged Foods,,Mumbai,"SAIF Partners, Haresh Chawla",Private Equity,6000000.0,Series A,2015
2229,2015-11-11,Delight Foods,Branded Food products online sales,,Bangalore,"Lensbridge Capital, Mape Advisory Group, Fireside Ventures",Private Equity,600000.0,Series A,2015
2231,2015-11-11,RenewBuy,Auto Insurance Online platform,,Gurgaon,Mount Nathan Advisors Pte Ltd,Seed Funding,500000.0,,2015
2233,2015-12-11,Hitwicket,Cricket Management Mobile Game,,Hyderabad,Chennai Angels,Seed Funding,250000.0,,2015
2293,2015-01-10,Muvizz,Movie-on-demand platform,,Singapore,"Ashish Todi, Abhinav Patodia, Kumar Shwetabh",Seed Funding,350000.0,,2015
2296,2015-02-10,Shopalyst,Product discovery & recommendation platform,,Bangalore,Kalaari Capital,Private Equity,2000000.0,Series A,2015
2297,2015-03-10,Chillr,Mobile Payments App,,Mumbai,Sequoia Capital,Private Equity,6000000.0,Series A,2015
2298,2015-05-10,Nykaa,Beauty & Wellness Products e-tailer,,Mumbai,"Harsh Mariwala, Atul Nishar, Dalip Pathak, Michael Carlos",Private Equity,9500000.0,Series B,2015
2299,2015-05-10,Voylla,Fashion jewelry and accessories e-tailer,,Jaipur,Peepul Capital,Private Equity,15000000.0,Series B,2015
2300,2015-05-10,IndiaLends,Online Consumer Lending platform,,New Delhi,"DSG consumer Partners, Paragon Partners",Private Equity,1000000.0,Pre-Series A Bridge round,2015
2301,2015-05-10,Rock N Shop,Premium Apparel shopping portal,,New Delhi,High Networth Individuals (undisclosed),Seed Funding,150000.0,,2015
2302,2015-06-10,DocPlexus,Exclusive Platform for Doctors & Healthcare professionals,,Pune,"Uniqorn ventures, ASP Consulting",Seed Funding,700000.0,,2015
2303,2015-06-10,WorkIndia,Job Board,,Mumbai,"Satyen Kothari, Keshav Sanghi, Riddhesh Gandhi & Others",Seed Funding,500000.0,Pre-Series A,2015
2304,2015-06-10,SportzVillage,Sports Management & Physical Education Business,,Bangalore,Gaja Capital Private Equity Fund,Private Equity,10000000.0,Series B,2015
2306,2015-06-10,Burger Singh,QSR & Online delivery portal,,Gurgaon,"Ashvin Chadha, Avtar Monga, Udaan Angels, Dheeraj Jain",Seed Funding,500000.0,Bridge Round,2015
2307,2015-06-10,Welcome Cure,Online Homeopathy Clinic,,Mumbai,Unnamed Media house and HNIs,Private Equity,6000000.0,Pre-Series A,2015
2308,2015-07-10,SchoolGuru,E-Learning Service Provider,,Mumbai,High Networth Individuals from India & USA,Private Equity,3000000.0,Series A,2015
2310,2015-07-10,GoJavas,Delivery & Logistics Service provider,,Gurgaon,Snapdeal,Private Equity,20000000.0,Strategic Funding (Series C),2015
2313,2015-08-10,ZuperMeal,Home Cooked Food marketplace & Delivery,,Mumbai,"Sanjeev Kapoor,\\xc2\\xa0 Ravi Saxena & Others",Private Equity,2000000.0,Series A,2015
2314,2015-08-10,Cube26,Gesture based Mobile Development,,New Delhi,"Tiger Global Management, Flipkart",Private Equity,7700000.0,Series A,2015
2316,2015-08-10,Grabhouse,Rental Accommodation Search platform,,Bangalore,Sequoia and Kalaari Capital.,Private Equity,10000000.0,Series B,2015
2317,2015-08-10,Quifers,Logistics Tech Platform,,Mumbai,"Vikas Agarwal, Vishal Khare, Sanjeev Kakkar, Smile Group",Seed Funding,310000.0,,2015
2318,2015-09-10,Stockroom.io,Developer Portfolio Showcase platform,,Hyderabad,Undisclosed Investors,Seed Funding,70000.0,,2015
2320,2015-09-10,Cloud Lending,End-to-End Lending platform,,Bangalore / San Mateo,SF Capital Group,Private Equity,8000000.0,Series A,2015
2321,2015-09-10,Inayo,on-demand healthcare marketplace,,Mumbai,"Kemark Ventures, Amit Ranjan, Zishaan Hayath and Others",Seed Funding,300000.0,,2015
2323,2015-09-10,Kulzy,Advertising & Marketing Community Networking platform,,New Delhi,"Seedfund, Bedrock Ventures",Seed Funding,1000000.0,,2015
2324,2015-09-10,Zeppery,Food Ordering & Delivery App,,New Delhi,Suyash Sharma,Seed Funding,77000.0,,2015
2325,2015-12-10,Zify,Ride Sharing platform,,Hyderabad,Sean O\\xe2\\x80\\x99Sullivan & Others,Seed Funding,190000.0,,2015
2328,2015-12-10,Gridle,Cloud Based Collaboration platform,,Ahmedabad,LetsVenture,Seed Funding,100000.0,,2015
2383,2015-01-09,TOFlo,FinTech Startup Incubation platform,,Mumbai,Tania Johny Palathinkal,Seed Funding,100000.0,,2015
2385,2015-01-09,Stylecracker,Personalized Styling platform,,Mumbai,Group of HNI investors,Private Equity,1000000.0,Series A,2015
2386,2015-01-09,Luxuryhues,Luxury goods\\xc2\\xa0 Shopping Platform,,Gurgaon,Reliance Capital,Private Equity,900000.0,Series A,2015
2388,2015-02-09,Zivame,Online Lingerie Marketplace,,Bangalore,"Zodius Technology Fund, Khazanah Nasional Berhad",Private Equity,40000000.0,Series C,2015
2389,2015-02-09,Capillary Tech,Cloud software solutions,,New Delhi,"Warburg Pincus, Sequoia Capital, Norwest Venture Partners",Private Equity,45000000.0,Series D,2015
2390,2015-03-09,Jobspire,Job Search Platform,,Bangalore,Purvi Capital,Seed Funding,260000.0,,2015
2392,2015-03-09,Vistaar Finance,Small Business Financing (NBFC),,Bangalore,"WestBridge Capital, Omidyar Network, Elevar Equity, Saama Capital,\\xc2\\xa0 Lok Capital",Private Equity,40000000.0,,2015
2394,2015-04-09,Clapsnslaps,Online Movie Review Platform,,Mumbai,R M Picture Company Pvt. Ltd.,Seed Funding,150000.0,,2015
2395,2015-04-09,Blubox,ECommerce Brands\\xe2\\x80\\x99 Full Service Agency,,Mumbai,Ashish Jhalani,Seed Funding,100000.0,,2015
2396,2015-04-09,RoomCentral,Cloud-based Hotel Booking Platform,,Bangalore,Karanpal Singh,Seed Funding,2000000.0,,2015
2397,2015-07-09,YouthKiAwaaz,Community Driven News/Views Platform,,New Delhi,"Raghav Bahl, Ritu Kapur",Seed Funding,600000.0,,2015
2398,2015-07-09,Prozo,Study Material Marketplace,,New Delhi,"Nalin Jain, Shomil Pant, Dinesh Kundu & others",Seed Funding,205000.0,,2015
2399,2015-07-09,Zomato,Restaurant Ratings & Reviews platform,,Gurgaon,"Temasek, Vy Capital",Private Equity,60000000.0,Late Stage,2015
2400,2015-07-09,Sahayog Dairy,Dairy Based Product Manufacturer,,Bhopal,Acumen Fund,Private Equity,1800000.0,Series A,2015
2401,2015-08-09,MockBank,Government Test Preparation platform,,Bangalore,Blume Ventures,Seed Funding,400000.0,,2015
2404,2015-10-09,OnlineTyari,Multilingual Test Preparation Platform,,Gurgaon,"500 Startups, TV Mohandas Pai, Tandem Capital, Vikram Chachra, Aloke Bajpai",Private Equity,770000.0,Series A,2015
2405,2015-10-09,IndustryBuying,Industrial Tools Marketplace,,New Delhi,"Kalaari Capital, SAIF Partners, Beenextan investment fund",Private Equity,9200000.0,Series B,2015
2406,2015-10-09,The/Nudge Foundation,Non Profit Organization to alleviate poverty,,Bangalore,"Nanadan Nilekani, InMobi, Paytm",Seed Funding,315000.0,,2015
2407,2015-11-09,FitMeIn,Gym & Fitness Studios Subscription platform,,New Delhi,Green House Ventures,Seed Funding,100000.0,,2015
2409,2015-11-09,Zapyle,pre-used apparel shopping mobile app,,Bangalore,Unknown,Seed Funding,1000000.0,,2015
2411,2015-12-09,CredR,Used Vehicles Marketplace,,Mumbai,Eight Road Ventures,Private Equity,15000000.0,Series A,2015
2471,2015-01-08,Snapdeal,Ecommerce Marketplace,,New Delhi,"Alibaba, Foxconn, Softbank",Private Equity,500000000.0,Late Stage Round 7th (More details),2015
2472,2015-01-08,Ressy,Restaurant Discount app,,Pune,Mohandas Pai & others,Seed Funding,400000.0,,2015
2474,2015-03-08,Connect India,ECommerce Logistics provider,,New Delhi,Aavishkaar,Private Equity,5000000.0,Series A,2015
2477,2015-03-08,Oyorooms,Budget Hotel accommodation brand,,New Delhi,"SoftBank Group, Greenoaks Capital, Sequoia Capital,\\xc2\\xa0 Lightspeed India",Private Equity,100000000.0,Series B,2015
2479,2015-03-08,Wizrocket,User Engagment & Analytics platform,,Mumbai,"Sequoia Capital, Accel Partners",Private Equity,9600000.0,Series B,2015
2480,2015-04-08,Pickingo,On-Demand Delivery Logistics,,New Delhi,"Orios Venture Partners, Zishaan Hayath",Private Equity,1300000.0,Series A,2015
2481,2015-05-08,Grex,fund raising platform for startups,,Pune,"Kunal Bajaj, Chandru Badrinarayanan",Seed Funding,650000.0,,2015
2482,2015-05-08,LetsTransport,Logistics Tech Platform,,Bangalore,"Rebright Partners, Ankush Nijhawan, Gaurav Bhatnagar, Manish Dhingra",Seed Funding,1300000.0,,2015
2483,2015-05-08,Zo Rooms,Online budget hotel chain,,New Delhi,"Tiger Global Management, Orios Venture Partners",Private Equity,30000000.0,Series A,2015
2484,2015-05-08,Doormint,Hyperlocal Handyman services,,Mumbai,"Helion Venture Partners, Kalaari Capital",Private Equity,3000000.0,Series A,2015
2485,2015-05-08,NightStay,hotel booking app,,Noida,"BedRock Ventures, Rajesh Sawhney, Shailesh Singh",Seed Funding,500000.0,,2015
2487,2015-05-08,Sunday Realty Solutions,Tech Platform for property brokers,,Mumbai,"Ramesh Jogani, Shailesh Viswanathan, Jay Srinivasan",Seed Funding,785000.0,,2015
2489,2015-06-08,Appvigil,App security\\xc2\\xa0 testing platform,,Mumbai,"Ravi Gururaj, Gaurav Sharma, Viswanath Ramachandran, RippleWave",Seed Funding,500000.0,pre Series-A,2015
2490,2015-06-08,practo,Doctor Appointment booking app,,Bangalore,"Sofina, Google Capital, Altimeter Capital, Sequoia Capital Global Equities, Yuri Milner, Sequoia Capital, Matrix Partners",Private Equity,90000000.0,Series C,2015
2493,2015-06-08,Ketto,Crowd funding platform,,Mumbai,"Chennai Angels, Calcutta Angels, ah! Ventures, Intellecap Impact Investment Network, Indus Age Partners, Singapore Angel Network, India Internet Fund, LetsVenture",Seed Funding,700000.0,,2015
2494,2015-06-08,Ezetap,Mobile based PoS solution,,Bangalore,"Horizons Ventures, Capricorn Investment Group, Social+Capital, Helion Advisors, Berggruen Holdings",Private Equity,25000000.0,Series C,2015
2496,2015-07-08,Carl\\xe2\\x80\\x99s Jr,Fast food Chain Franchisee,,Gurgaon,YouWeCan Ventures,Seed Funding,630000.0,,2015
2497,2015-07-08,EasyRewardz,Loyalty Programs & Reward Points,,Mumbai,"Wealth First, Ashneer Grover, Atul Phadnis",Private Equity,500000.0,Pre-Series A,2015
2501,2015-10-08,MyTaxiIndia,Taxi Rental platform,,Gurgaon,"Nihon Kotsu,",Private Equity,500000.0,Pre Series-A,2015
2502,2015-10-08,eSadar,ecommerce,,New Delhi,"Neha Vats, Gaurav Vats",Seed Funding,80000.0,,2015
2504,2015-10-08,MyPoolin,mobile social network,,New Delhi,QPrize from Qualcomm Ventures,Seed Funding,250000.0,QPrize Contest Winners,2015
2505,2015-10-08,NearBuy (previously\\xc2\\xa0 groupon India),Hyper-Local Ecommerce,,New Delhi,Sequoia Capital,Private Equity,16000000.0,Series A,2015
2506,2015-10-08,Inkmonk,Online printing marketplace,,Chennai,"Girish Mathrubootham, Phanindra Sama, Vikram Chachra, Others from LetsVenture",Seed Funding,250000.0,,2015
2507,2015-10-08,ToneTag,mobile payment software platform,,Bangalore,Reliance Capital Venture,Private Equity,1000000.0,Series A,2015
2508,2015-10-08,Grey Orange,Automated Storage & Warehousing Solution,,Gurgaon,Tiger Global Management,Private Equity,30000000.0,Series B,2015
2509,2015-11-08,Livspace,Home Design & D\\xc3\\xa9cor solutions,,Bangalore,"Helion Ventures, Jungle Ventures & Bessemer Venture Partners",Private Equity,8000000.0,Series A,2015
2510,2015-11-08,WOW! MOMO,Quick Service Restaurant Chain,,Kolkata,Indian Angel Network,Seed Funding,1600000.0,,2015
2511,2015-11-08,RainCan,Subscription based Online Grocery platform,,Pune,Ajeet Khurana & Others,Seed Funding,100000.0,,2015
2512,2015-11-08,Allygrow Technologies,engineering services company,,Mumbai,Zodius Technology Fund,Private Equity,20000000.0,Series A,2015
2513,2015-11-08,Infogain,Business and IT consulting,,New Delhi / US,ChrysCapital,Private Equity,63000000.0,,2015
2514,2015-12-08,OneAssist,Credit Card Fraud protection solutions,,Mumbai,"Sequoia Capital, Lightspeed Ventures",Private Equity,7500000.0,Series B,2015
2515,2015-12-08,BigBasket,Online & mobile Grocery store,,Bangalore,Bessemer Venture Partners,Private Equity,50000000.0,Series C,2015
2516,2015-12-08,Sheroes,Career Community for Women,,Noida,"Quintillion Media, 500 Startups",Seed Funding,770000.0,,2015
2517,2015-12-08,Scripbox,Mutual Fund Investing platform,,Bangalore,"Accel Partners, Deep Kalra, Rajesh Magow, Mohit Gupta, Shamik Sharma",Private Equity,2500000.0,Series A,2015
2571,2015-01-07,Cloudcherry Analytics,CRM / Analytics platform,,Chennai,"The Chennai Angels, IDG Ventures India",Seed Funding,1000000.0,,2015
2575,2015-01-07,NxtGen,IT infrastructure & Data Center services,,Bangalore,"IFC, Axon Partners, Intel Capital",Private Equity,13500000.0,Series A,2015
2576,2015-02-07,BankBazaar,Online Financial Services,,Chennai,"Amazon, Fidelity Growth Partners, Mousse Partners",Private Equity,60000000.0,Series C\\n(More here),2015
2577,2015-02-07,Gozoomo,Used Car Marketplace,,Bangalore,SAIF Partners,Private Equity,5000000.0,Series A,2015
2578,2015-02-07,Zenatix,Internet of Things platform,,Gurgaon,"Rajan Anandan, Kunal Bahl, Rohit Bansal, Rahul Khanna",Seed Funding,161000.0,,2015
2579,2015-03-07,CultureAlley,Language Learning App,,Jaipur,Tiger Global,Private Equity,6500000.0,Series A,2015
2581,2015-03-07,Gingercrush,Custom Merchandize platform,,Ahmedabad,"Gokul Jaykrishna, Brand Capital",Seed Funding,1000000.0,,2015
2583,2015-04-07,Stitchwood,Custom Furniture Marketplace,,Mumbai,"Powai Lake Ventures, Ajeet Khurana & others",Seed Funding,395000.0,,2015
2586,2015-06-07,Paper Boat,Ethnic Beverages manufacturer,,Gurgaon,"Sofina, Hillhouse Capital",Private Equity,30000000.0,Series B,2015
2588,2015-07-07,Wudstay,Budget Accommodation aggregator,,Gurgaon,"Mangroves Capital Partners, Vikas Saxena",Private Equity,3000000.0,Series A,2015
2589,2015-07-07,Liases Foras,Real Estate Rating & Analysis,,New Delhi,DMG information Asia Pacific,Private Equity,5000000.0,Series A,2015
2593,2015-08-07,Saavn,Music Streaming App,,Mumbai,"Tiger Global Management, Bertelsmann India, Steadview Capital, Liberty Media, Mousse Partners, Quilvest",Private Equity,100000000.0,Series C,2015
2594,2015-08-07,Flytxt,Big Data & Analytics platform,,Mumbai / Global,"Sunrise Capital GmBH, Big Data Investments B.V",Private Equity,11000000.0,Series A,2015
2595,2015-08-07,Axtria,Big Data & Analytics platform,,India / US,"Helion Venture Partners,Amarpreet Sawhney, Deshpande Foundation, Fred Khosravi, Richard S. Braddock",Private Equity,30000000.0,Series C,2015
2596,2015-08-07,33Coupons,Coupon Aggregator Platform,,Kanpur,Not Disclosed,Seed Funding,20000.0,,2015
2598,2015-08-07,Hopping Chef,Online Food-Tech Platform,,Mumbai,Mirah Hospitality,Seed Funding,470000.0,Strategic Investment,2015
2599,2015-08-07,Collectabillia,Celebrity Fashion Brand,,Bangalore,Accel Partners,Private Equity,7500000.0,Series B,2015
